x,y,sampleID
44.338844,33.737705,msp_50
22.982977,43.449577,msp_51
22.170195,41.11273,msp_52
3.5574226,30.953476,msp_53
15.605828,26.171955,msp_54
2.9353695,19.113567,msp_55
41.282784,34.77091,msp_56
24.89791,33.505333,msp_57
33.47172,16.394064,msp_58
45.362663,26.83074,msp_59
17.549759,36.513725,msp_60
12.868609,13.734056,msp_61
26.6986,46.19081,msp_62
25.622948,0.24453163,msp_63
23.798616,20.381939,msp_64
27.691568,32.88002,msp_65
1.8264122,10.168995,msp_66
21.097664,28.27684,msp_67
36.682587,41.185577,msp_68
13.422211,33.120495,msp_69
20.915844,33.77929,msp_70
10.096821,36.127403,msp_71
1.1055508,22.761875,msp_72
24.351307,26.94375,msp_73
5.048933,35.818394,msp_74
30.101059,30.840408,msp_75
2.3503609,4.3381004,msp_76
11.446479,41.03462,msp_77
2.498312,13.129903,msp_78
41.04214,24.940905,msp_79
28.521162,10.163685,msp_80
6.703779,8.723587,msp_81
18.022762,26.012703,msp_82
46.12754,27.99345,msp_83
29.396723,47.088158,msp_84
46.074104,29.016964,msp_85
23.30989,14.175517,msp_86
36.345432,4.4722843,msp_87
22.158524,15.332306,msp_88
4.6777,6.8560085,msp_89
43.860607,17.486156,msp_90
41.31504,37.44006,msp_91
43.01647,27.055407,msp_92
34.612743,23.042522,msp_93
2.1694775,22.521994,msp_94
3.7180195,5.7794304,msp_95
40.331688,21.669506,msp_96
29.371016,36.081482,msp_97
9.612119,20.521067,msp_98
36.05368,10.097279,msp_99
8.357355,4.024252,msp_100
23.550339,9.4848995,msp_101
48.33104,45.04554,msp_102
38.780384,7.0414867,msp_103
27.606684,28.780325,msp_104
43.20291,46.678192,msp_105
41.411476,46.283966,msp_106
45.921993,6.444437,msp_107
35.145237,41.6279,msp_108
36.06327,2.076559,msp_109
16.182629,9.630884,msp_110
11.171446,44.039597,msp_111
10.393894,21.35163,msp_112
26.447649,3.104435,msp_113
26.808212,17.049847,msp_114
40.584908,8.229317,msp_115
30.145382,45.369026,msp_116
4.140085,39.2371,msp_117
35.813347,4.910658,msp_118
3.5821133,34.767143,msp_119
45.70112,12.045609,msp_120
26.863674,34.85324,msp_121
6.404875,45.039963,msp_122
27.218157,12.355449,msp_123
26.165157,16.34156,msp_124
13.562969,31.781435,msp_125
23.029583,45.29976,msp_126
30.484043,49.726566,msp_127
48.941257,34.983147,msp_128
5.5965004,26.752394,msp_129
40.327965,16.420021,msp_130
32.789616,2.7927856,msp_131
14.757175,43.043198,msp_132
44.27491,14.010718,msp_133
26.994549,8.294834,msp_134
11.543203,27.650242,msp_135
41.47733,38.36972,msp_136
28.375303,16.101421,msp_137
29.346926,14.406544,msp_138
20.111956,43.655922,msp_139
3.620985,16.17293,msp_140
34.29016,1.0501957,msp_141
7.920229,41.473854,msp_142
35.237957,28.663996,msp_143
21.445808,14.841466,msp_144
43.057396,47.217167,msp_145
27.116444,28.757868,msp_146
19.106705,46.832348,msp_147
15.790798,31.297453,msp_148
2.5251274,48.850014,msp_149
40.340584,16.052147,msp_150
40.876076,43.04522,msp_151
16.698826,25.965849,msp_152
42.191544,5.246441,msp_153
35.436306,42.5668,msp_154
4.7758694,44.658752,msp_155
40.137627,31.085928,msp_156
45.385826,7.464407,msp_157
35.896156,44.267776,msp_158
5.6764965,46.99927,msp_159
5.737444,35.569817,msp_160
29.463387,10.60716,msp_161
49.941544,51.20915,msp_162
13.567618,6.362629,msp_163
33.63163,1.8793316,msp_164
39.164616,1.118864,msp_165
25.411274,29.918068,msp_166
4.8289337,21.127895,msp_167
22.350058,9.050243,msp_168
18.945324,19.443941,msp_169
46.09978,2.0326939,msp_170
27.057777,19.402668,msp_171
34.960453,21.518341,msp_172
6.7359314,19.703487,msp_173
6.964077,44.78962,msp_174
1.1810703,33.156128,msp_175
42.909348,17.782822,msp_176
9.188826,18.522352,msp_177
12.253626,34.403427,msp_178
47.74737,28.596287,msp_179
26.087965,47.070038,msp_180
30.132242,14.480069,msp_181
41.96556,25.077827,msp_182
3.5774918,16.534716,msp_183
44.1744,3.1289864,msp_184
28.360792,15.25977,msp_185
